Product_ID,Product_Name,Product_Category,Product_Cost,Product_Price
1,Action Figure,Toys,$9.99 ,$15.99 
18,Lego Bricks,Toys,$34.99 ,$39.99 
16,Jenga,Games,$2.99 ,$9.99 
2,Animal Figures,Toys,$9.99 ,$12.99 
9,Dino Egg,Toys,$9.99 ,$10.99 
6,Colorbuds,Electronics,$6.99 ,$14.99 
12,Foam Disk Launcher,Sports & Outdoors,$8.99 ,$11.99 
4,Chutes & Ladders,Games,$9.99 ,$12.99 
19,Magic Sand,Art & Crafts,$13.99 ,$15.99 
17,Kids Makeup Kit,Art & Crafts,$13.99 ,$19.99 
14,Glass Marbles,Games,$5.99 ,$10.99 
3,Barrel O' Slime,Art & Crafts,$1.99 ,$3.99 
10,Dinosaur Figures,Toys,$10.99 ,$14.99 
20,Mini Basketball Hoop,Sports & Outdoors,$8.99 ,$24.99 
5,Classic Dominoes,Games,$7.99 ,$9.99 
13,Gamer Headphones,Electronics,$14.99 ,$20.99 
8,Deck Of Cards,Games,$3.99 ,$6.99 
11,Etch A Sketch,Art & Crafts,$10.99 ,$20.99 
15,Hot Wheels 5-Pack,Toys,$3.99 ,$5.99 
7,Dart Gun,Sports & Outdoors,$11.99 ,$15.99 
